"indicateur","libellés","villes","Unit","Date","Value"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M5","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M6","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M7","27"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M8","27"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M9","27"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M10","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M11","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2015M12","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M1","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M2","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M3","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M4","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M5","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M6","27"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M7","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M8","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M9","27"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M10","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M11","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2016M12","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M1","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M2","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M3","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M4","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M5","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M6","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M7","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M8","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M9","27"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M10","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M11","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2017M12","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M1","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M2","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M3","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M4","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M5","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M6","27"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M7","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M8","25"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M9","26"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M10","27"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M11","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2018M12","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M1","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M2","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M3","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M4","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Kouma konda","°C","2019M5","29"
